time_s,ax_ref_mps2,xi_ff_m,xi_ref_m,xi_actual_m,x_base_m,dx_base_mps,height_m
0.27,0,-0,-0.00225712160435859,-0.028958827012243,-0.0325356832438096,-0.228461146404576,0.582952110539997
0.275,0,-0,-0.00236849483026937,-0.0299824117893873,-0.033688635505247,-0.231650358457654,0.583100129066565
0.28,0,-0,-0.00248294919444723,-0.0310100510121335,-0.0348573032347989,-0.234770281269006,0.583252288864279
0.285,0,-0,-0.00260048732962199,-0.032041335757136,-0.0360413374248802,-0.237820151066029,0.583408480427418
0.29,0,-0,-0.00272111002899941,-0.033075869066125,-0.0372403854710394,-0.240799267875991,0.583568593565845
0.295,0,-0,-0.00284481626877221,-0.034113265193039,-0.0384540914148803,-0.243706978080536,0.583732517102353
0.3,0,-0,-0.00297160323167844,-0.0351531491214693,-0.0396820962462788,-0.246542690086776,0.583900139425285
0.305,0,-0,-0.00310146633116951,-0.0361951557907858,-0.0409240381360888,-0.249305856618372,0.5840713481429
0.31,0,-0,-0.00323439923650192,-0.0372389296248279,-0.0421795527223751,-0.251995988587848,0.584246030581688
0.315,0,-0,-0.0033703938983491,-0.0382841237969167,-0.0434482733281889,-0.254612638741634,0.584424073428935
0.32,0,-0,-0.00350944057523759,-0.0393303998248573,-0.0447298312340334,-0.257155415020851,0.584605363252716
0.325,0,-0,-0.00365152786034172,-0.0403774269035727,-0.0460238558710184,-0.259623961477526,0.584789786093077
0.33,0,-0,-0.00379664270901576,-0.0414248815805927,-0.0473299750754001,-0.262017974675297,0.584977227990679
0.335,0,-0,-0.00394477046657149,-0.0424724471683882,-0.0486478152640256,-0.264337183420558,0.585167574590708
0.34,0,-0,-0.00409589489669287,-0.0435198134994196,-0.0499770016712945,-0.26658136559381,0.585360711678229
0.345,0,-0,-0.00424999820999553,-0.0445666764106484,-0.0513171585068462,-0.268750327791661,0.585556524782722
0.35,0,-0,-0.00440706109313639,-0.0456127375655591,-0.0526679091768066,-0.27084392264653,0.585754899715705
0.355,0,-0,-0.00456706273798221,-0.0466577039976451,-0.054028876425961,-0.272862028445315,0.585955722173602
0.36,0,-0,-0.00472998087125505,-0.0477012879856751,-0.0553996825454724,-0.274804566908486,0.586158878273786
0.365,0,-0,-0.00489579178416406,-0.0487432066443549,-0.0567799495017259,-0.276671482778927,0.586364254154446
0.37,0,-0,-0.00506447036245175,-0.0497831818418463,-0.0581692991323144,-0.278462761967711,0.586571736505571
0.375,0,-0,-0.0052359901163736,-0.0508209398312331,-0.0595673532645751,-0.280178411493174,0.586781212176711
0.38,0,-0,-0.0054103232110103,-0.0518562111988802,-0.0609737338977889,-0.281818476357001,0.586992568671382
