time_s,x_base_m,dx_base_mps,ax_base_mps2,fx_desired_N,fx_qp_feasible_N,fx_qp_slack_N,fx_qp_contact_N,fx_actual_from_base_N
0.495,-0.094761940708782,-0.29914690285882,0.0130052564570049,88.7268395760288,88.678866247025,-0.0479733290038333,-23.945820823624,0.033009827841039
0.5,-0.0962573699785522,-0.299048023462244,0.026491464932471,89.201613224144,89.153658948792,-0.0479542753519738,-23.9910877679663,0.0733062510431869
0.505,-0.0977520810222927,-0.298881988209496,0.0398651687394557,89.6632553022957,89.6153241687137,-0.0479311335819798,-24.0337081003567,0.113268837996208
0.51,-0.0992457399746083,-0.29864937177485,0.0531234617758447,90.1117659169266,90.0638619597624,-0.0479039571641945,-24.0736870143372,0.152888894766582
0.515,-0.100738015849936,-0.298350753591737,0.0662635909959852,90.5471470391329,90.4992742376464,-0.047872801486439,-24.1110264142467,0.192157914567262
0.52,-0.102228580645125,-0.29798673586489,0.0792827795603023,90.9694059970003,90.9215682805732,-0.047837716427125,-24.1457329596685,0.23106755999469
0.525,-0.10371710937557,-0.297557925796134,0.0921783468615322,91.3785520747548,91.3307533207106,-0.0477987540441756,-24.1778107173561,0.269609728493962
0.53,-0.105203280174492,-0.297064952396275,0.104947595985494,91.7745997735487,91.7268437999031,-0.0477559736455571,-24.2072679769022,0.307776488203538
0.535,-0.10668677432853,-0.296508449836279,0.117588213292891,92.157565626518,92.1098562054219,-0.0477094210961194,-24.2341125063833,0.345560078401434
0.54,-0.108167276363655,-0.295889070263346,0.130097558574904,92.5274706879271,92.4798115311492,-0.0476591567778732,-24.2583518661892,0.382952937533533
0.545,-0.109644474086379,-0.29520747425053,0.142472976625324,92.884338713035,92.8367334801372,-0.0476052328978688,-24.2799957095118,0.419947672746191
0.55,-0.111118058674997,-0.294464340497092,0.154712274573881,93.2281980507581,93.1806503429825,-0.0475477077755861,-24.2990562700046,0.456537089999828
0.555,-0.112587724705562,-0.293660351504791,0.166813079717604,93.5590789019899,93.5115922671017,-0.0474866348881352,-24.3155431228048,0.492714150902756
0.56,-0.114053170241451,-0.292796209699916,0.178773238850077,93.8770164447231,93.8295943749069,-0.047422069816135,-24.3294714745581,0.528471963051433
0.565,-0.115514096855212,-0.291872619116291,0.190590452487854,94.1820473242637,94.1346932569929,-0.0473540672708279,-24.3408511731301,0.563803835246829
0.57,-0.116970209719164,-0.290890305175038,0.202262338047978,94.4742134810078,94.4269308361764,-0.047282644831367,-24.3496989678085,0.598703233197046
0.575,-0.118421217633033,-0.289849995735811,0.213787073181995,94.7535585212609,94.7063505382283,-0.0472079830325879,-24.3560293927014,0.633163795070063
0.58,-0.119866833096,-0.288752434443218,0.225162504413351,95.0201303036395,94.9730002905564,-0.0471300130831053,-24.3598583800029,0.667179320955869
0.585,-0.12130677233738,-0.287598370691677,0.236386492361556,95.2739790223791,95.2269301892871,-0.047048833091965,-24.361202340039,0.700743788245951
0.59,-0.122740755392968,-0.286388569519602,0.247457192512462,95.5151591322982,95.4681946290327,-0.0469645032655247,-24.3600804323682,0.73385130044436
0.595,-0.124168506125913,-0.285123798766553,0.258372649275373,95.7437268897683,95.6968498117668,-0.0468770780015339,-24.3565095297175,0.766496146970703
0.6,-0.125589752301601,-0.283804843026849,0.269131177232462,95.9597430566364,95.9129564397899,-0.046786616846462,-24.3505120178399,0.798672808797705
0.605,-0.127004225601619,-0.282432486994228,0.279730891252966,96.1632697068859,96.1165765326831,-0.0466931742028173,-24.3421043928519,0.830375905502443
0.61,-0.128411661700633,-0.281007534114319,0.290169853780197,96.3543738334337,96.3077770215949,-0.046596811838858,-24.3313105054722,0.861600224464595
0.615,-0.129811800286027,-0.279530788456426,0.300446567143614,96.5331238738623,96.4866262885483,-0.0464975853139987,-24.3181510187373,0.892340702665214
0.62,-0.131204385119795,-0.278003068442883,0.310559376647506,96.6995923669932,96.6531968121028,-0.0463955548904831,-24.3026497859819,0.922592451265826
0.625,-0.132589164057222,-0.276425194689951,0.32050671267142,96.8538536244177,96.8075628479077,-0.0462907765099559,-24.2848291247799,0.952350780758573
0.63,-0.133965889107769,-0.274798001316169,0.330287028062176,96.9959859218859,96.9498026113594,-0.0461833105265093,-24.2647143856998,0.981611124857847
0.635,-0.135334316452285,-0.273122324409329,0.339898867016064,97.126069290564,97.0799960773384,-0.046073213225551,-24.2423294953279,1.01036910119308
0.64,-0.136694206499755,-0.271399012646008,0.349340798681757,97.2441875748002,97.1982270298377,-0.0459605449624589,-24.2177012255575,1.03862051347728
0.645,-0.13804532390287,-0.269628916422512,0.358611484259302,97.3504263503262,97.3045809880736,-0.0458453622526271,-24.1908550229126,1.06636132283475
0.65,-0.139387437610576,-0.267812897803415,0.36770960941434,97.4448748518019,97.399147126456,-0.0457277253459044,-24.1618189919743,1.09358766810671
0.655,-0.14072032088201,-0.265951820328368,0.376633951507049,97.5276240202462,97.4820163293583,-0.0456076908878966,-24.1306200133421,1.12029584072488
0.66,-0.142043751334871,-0.264046558288344,0.385383312452664,97.5987683001176,97.553282981177,-0.0454853189405845,-24.09728744458,1.1464823179376
0.665,-0.143357510957718,-0.262097987203842,0.393956586254412,97.6584038151195,97.6130431489193,-0.0453606662002409,-24.0618495212945,1.17214378374713
0.67,-0.144661386154156,-0.2601069924258,0.402352692692137,97.7066300342277,97.6613962417561,-0.0452337924716777,-24.0243367775807,1.19727707102509
0.675,-0.145955167753447,-0.25807446027692,0.410570644497204,97.7435480742632,97.6984433198375,-0.0451047544257603,-23.9847787232379,1.22187919733074
0.68,-0.147238651050464,-0.256001285980828,0.418609481876913,97.7692622355406,97.7242886240009,-0.0449736115397071,-23.9432069884472,1.24594735797419
0.685,-0.148511635814537,-0.253888365458151,0.426468338759994,97.7838784295767,97.7390380091985,-0.0448404203782157,-23.8996522705116,1.26947893608746
0.69,-0.149773926325129,-0.251736602593228,0.434146378350947,97.7875055861302,97.7428003461138,-0.0447052400163201,-23.8541472098184,1.2924714950502
0.695,-0.151025331378836,-0.249546901674642,0.44164285801475,97.7802542040403,97.7356860772129,-0.044568126827413,-23.8067235989454,1.31492278799055
0.7,-0.152265664320748,-0.247320174013081,0.448957066179114,97.7622376322602,97.7178084928528,-0.0444291394073584,-23.7574149982988,1.33683075043071
0.705,-0.153494743049526,-0.245057331012851,0.456088385559608,97.733570741211,97.6892824073597,-0.0442883338512673,-23.7062541995024,1.3581935098368
0.71,-0.154712390044431,-0.242759290157485,0.463036231742028,97.694371080989,97.6502253127903,-0.0441457681986857,-23.6532755898938,1.37900937831292
0.715,-0.155918432368394,-0.24042696869543,0.469800114446913,97.644757669983,97.6007561718039,-0.0440014981790672,-23.5985128609767,1.3992768614522
0.72,-0.15711270169071,-0.238061289013016,0.476379578089311,97.5848520340181,97.5409964528188,-0.0438555811993009,-23.5420011317995,1.41899465102013
0.725,-0.158295034288019,-0.235663172914537,0.482774260787044,97.5147771084129,97.4710690358766,-0.0437080725362744,-23.4837748922255,1.43816163388359
0.73,-0.159465271062675,-0.233233546405145,0.488983837175599,97.4346581623949,97.3910991335057,-0.0435590288892177,-23.4238698961954,1.4567768927512
0.735,-0.160623257541558,-0.230773334542781,0.495008074855041,97.3446218102414,97.301213305245,-0.0434085049964425,-23.3623213287204,1.47483969938139
0.74,-0.161768843890141,-0.228283465656595,0.50084677975529,97.2447968258916,97.201540269117,-0.0432565567746103,-23.299165481073,1.492349510827
0.745,-0.162901884909052,-0.225764866745228,0.506499849264224,97.1353132582483,97.0922100210704,-0.0431032371778485,-23.2344381286792,1.50930598865738
0.75,-0.164022240043892,-0.223218467163953,0.511967221340417,97.0163031423761,96.9733545380904,-0.0429486042857425,-23.1681759992374,1.52570898293668
0.755,-0.165129773379469,-0.220645194531824,0.51724892525696,96.8878997117425,96.8451070028441,-0.0427927088984321,-23.1004153637613,1.54155854019533
0.76,-0.166224353645358,-0.218045977911383,0.522345030839849,96.7502380105784,96.7076024045237,-0.0426356060546514,-23.0311932876069,1.55685490544535
0.765,-0.167305854207783,-0.215421744223426,0.527255694427619,96.603454202808,96.5609768548864,-0.0424773479215957,-22.9605464030223,1.57159851236142
0.77,-0.168374153071119,-0.212773420967107,0.531981113229923,96.4476860948241,96.4053681072643,-0.0423179875598546,-22.8885120135758,1.585789976024
0.775,-0.169429132867453,-0.210101933091126,0.536521572736353,96.2830725312866,96.2409149537727,-0.042157577513901,-22.8151270469793,1.59943011625678
0.78,-0.170470680853995,-0.207408205239743,0.54087745657049,96.1097538255176,96.0677576535419,-0.0419961719756939,-22.740429321342,1.61251994187875
0.785,-0.171498688898271,-0.204693158525421,0.545049128288269,95.9278711349384,95.8860373178663,-0.0418338170720939,-22.6644551490911,1.62506064606358
0.79,-0.172513053474312,-0.201957713956861,0.549037018879233,95.7375671180168,95.695896551875,-0.0416705661417297,-22.5872426704653,1.63705362691818
0.795,-0.17351367564625,-0.199202788336629,0.552841723163649,95.5389851411674,95.4974786720273,-0.0415064691401292,-22.5088288717009,1.64850046273041
0.8,-0.174500461057431,-0.196429296725224,0.556463817969793,95.332269748273,95.2909281723015,-0.0413415759715277,-22.4292513248233,1.65940289637396
0.805,-0.175473319912389,-0.193638150156931,0.559903966989722,95.1175662161628,95.0763902803912,-0.0411759357716469,-22.3485470948237,1.66976287387107
0.81,-0.176432166962963,-0.190830257055327,0.563162942309691,94.8950208218139,94.8540112259213,-0.041009595892553,-22.2667540768447,1.6795825225369
0.815,-0.177376921485464,-0.188006520733834,0.56624148015455,94.6647803549019,94.6239377499979,-0.0408426049040067,-22.1839083613401,1.688864150139
0.82,-0.17830750726606,-0.185167842253781,0.569140360085001,94.426992661742,94.3863176512572,-0.0406750104848425,-22.1000477356775,1.69761023363938
0.825,-0.179223852577321,-0.182315117132984,0.57186055971876,94.1818060055693,94.1412991463933,-0.0405068591760047,-22.0152090629492,1.70582344304165
0.83,-0.180125890155823,-0.179449236656594,0.574403040140817,93.9293693108371,93.8890311138184,-0.0403381970187037,-21.9294292745248,1.71350660960146
0.835,-0.181013557176374,-0.176571086731576,0.576768766469393,93.6698319347566,93.629662864044,-0.0401690707125699,-21.8427445260184,1.72066271485943
0.84,-0.181886795229572,-0.1736815489919,0.57895894083727,93.4033438720925,93.3633443497637,-0.039999522328851,-21.7551928405705,1.72729492656954
0.845,-0.182745550287975,-0.170781497323203,0.580974630440877,93.1300550767035,93.0902254810047,-0.0398295956987624,-21.6668084050271,1.7334065883538
0.85,-0.183589772684404,-0.167871802687491,0.582816884769116,92.8501163807553,92.810457039905,-0.0396593408503389,-21.5776285275402,1.7390011880086
0.855,-0.184419417081092,-0.164953328475512,0.58448706382016,92.5636785921565,92.5241897974673,-0.0394887946891998,-21.4876889535342,1.7440823666957
0.86,-0.185234442437384,-0.162026932049289,0.585986465917745,92.2708927800711,92.2315747785527,-0.039318001518389,-21.3970255320971,1.74865392632332
